ticket_id,flight_id,ticket_class,luggage_class,passenger_id,passenger_first_name,passenger_second_name,order_method,booking_date
e51ac8c1-53d4-4013-8baa-aadb93afa88a,5f95af6a-a4f1-439d-9d22-9cc22f6be903,Business,CarryOn,542878d8-09db-4292-b6eb-e563c30b63a2,Liam,Garcia,Mobile,2023-10-11
7854ff47-04da-4131-978e-0ba8a4af85b8,4a744847-2d98-4835-8aa4-e8b1947e3cae,Premium,CarryOn,3a79fdc6-fb87-4342-bb06-f8db34564f40,Mia,Smith,Agent,2024-11-23
753bc16e-96bc-443e-a993-6609e9722b22,7a0ee103-5db5-4313-aa40-6024ccad67b9,Economy,CarryOn,d8f0cfa9-fc21-4ee3-bc8e-a400b334cffb,Ava,Miller,Online,2024-05-21
bd1ec919-ab2f-4456-9205-7153ebb5edb3,d618aef7-3fd0-4733-bc63-b2ed2cc4233e,Economy,CarryOn,30d9e656-c79a-4878-b608-9a9c500829d3,Mia,Martinez,Mobile,2024-05-05
1079b9d0-4743-4781-9083-025b27b62b65,4e2b4fd1-3f76-4cc1-bd8d-eff3fc129e5d,Business,CarryOn,b5ced1d1-afa4-4a1d-9a8b-93bdb17baa38,Noah,Johnson,Agent,2024-04-11
33c74644-8bc2-4855-97ce-afd48e1007d1,a95e5dbd-55a0-48b3-9ce8-f4676f9902b3,Business,CarryOn,828992c4-18bc-434c-bee9-eb43e9565e44,Benjamin,Johnson,Online,2023-12-18
b3c7ac69-6645-4b02-8913-558a7d9cf80a,ddad1e9f-4028-4346-be06-7d4d93480468,Premium,None,bf44a926-5427-45f7-b1d8-8181bb974d15,Liam,Martinez,Online,2024-12-23
f2cc5e6a-046a-4b4f-99b2-b5edec78b4d0,f0960d47-8901-43bd-bca1-3257a7e03819,Economy,CarryOn,657080c6-0a98-41fe-9060-5e4b60480c94,James,Hernandez,Mobile,2023-05-21
19e3430f-f8e2-4c60-9109-b77076be6fe9,9d567cdc-5224-4162-afc7-db238861609a,Premium,Checked,4bb5a0a8-f1b5-4873-a240-9b8fbcc8d3a1,Mia,Lopez,Online,2023-06-24
88fb41f7-3f9a-41a7-a98d-041dbb0e874c,4df8dedb-ac04-4549-b13a-53ea163e57f8,Economy,CarryOn,863f806e-6216-4372-8c45-b74398dc253a,Charlotte,Rodriguez,Agent,2023-04-10
b1dea302-99ca-43e2-be81-36c7a7555fa2,16dee8e1-4a63-43e4-8b00-e4d817beac39,Economy,Checked,10b01a7b-21d7-4b67-a09f-e992bd071ab9,Liam,Smith,Online,2023-08-12
a38a36d7-64f6-4557-b51d-459a6d00f98f,e0250198-0fc9-4007-8a8f-832c63eec9a5,Premium,CarryOn,c7d7d9a0-8dd3-41dc-85cd-e880362fc642,Noah,Williams,Mobile,2023-08-30
7750293d-6f48-463d-bfb9-8fcb1299ea51,a5ad41e2-95e7-4565-965a-a718a46a5f56,Premium,None,cffaef40-a72d-45dc-b80f-4da0782681af,Mia,Garcia,Online,2023-11-30
7a793ef3-0e67-45c2-82b7-7f850abc73a5,75def785-61b5-4af7-82de-e4aaac50c579,Premium,None,4c77601d-9cae-4629-9520-8a5759f00fdb,James,Rodriguez,Agent,2024-10-25
d2e6fec1-0223-455c-ae78-81a2a0dae535,67358c6f-30f3-4ec3-a275-847630fc1976,Premium,Checked,f9d41974-901f-455e-ae7e-c1ec0054eab7,Noah,Brown,Mobile,2024-12-19
6325f590-c88f-42a4-bf27-0d28d7ca5057,6bf877e3-fbac-46ab-b11e-74e688ec745b,Economy,None,3ec83c54-d2dd-4089-aa2f-91613e3aa36b,Benjamin,Williams,Online,2023-02-19
23b1d02a-8524-4fe3-8e1d-acba6b4e6d88,9a7d4b0b-5dbe-47a8-ae74-2508cd248eb7,Economy,None,03a9578b-e192-4692-a437-e328412604c0,Emma,Brown,Agent,2024-06-15
