ticket_id,flight_id,ticket_class,passenger_id,passenger_first_name,passenger_second_name,order_method,ticket_price,booking_date
6241f838-f8d1-4b83-83a6-7f220c399320,4a744847-2d98-4835-8aa4-e8b1947e3cae,Premium,c7c076bf-a81c-406a-b820-f7d66b0d4e8f,Ava,Brown,Online,1437.71,2023-11-01
79f53bdb-8c70-417e-8123-353fdb8b686c,252a6dcd-be31-4fb7-ac13-01f391be015e,Premium,a9cd2b67-8990-43e5-b233-5c4b0747225d,Ava,Rodriguez,Agent,1815.29,2024-09-26
88fb41f7-3f9a-41a7-a98d-041dbb0e874c,4df8dedb-ac04-4549-b13a-53ea163e57f8,Economy,863f806e-6216-4372-8c45-b74398dc253a,Charlotte,Rodriguez,Agent,1321.74,2023-04-10
5d15756e-50de-4b50-861c-6c4f66c21ddc,8dbb7fb6-43c6-46dc-b1f4-f7417a8d8ff3,Premium,5cab67e6-e85a-4d97-a585-ac16c645a8cf,Noah,Williams,Agent,1651.27,2024-04-16
7a793ef3-0e67-45c2-82b7-7f850abc73a5,75def785-61b5-4af7-82de-e4aaac50c579,Premium,4c77601d-9cae-4629-9520-8a5759f00fdb,James,Rodriguez,Agent,1747.64,2024-10-25
0cb91018-1227-470e-8747-72c9ce154d88,9592b5a3-b96a-491a-b6b1-510fc71418ec,Business,72bcfdc2-6e4f-47ab-ae0a-34f95b12ab82,Sophia,Jones,Agent,260.57,2023-01-01
993714f0-d81e-4dc0-86ec-d134778de6af,69fead6b-1322-4ed6-bb09-e5f2d366795e,Premium,181689c7-b64f-4c89-afee-0bbfb579c0da,Emma,Miller,Agent,600.49,2024-03-28
d27259c1-c088-4f9f-9576-ef03867ec90d,ee6d5584-48e3-4462-87ff-0abc4fb17ebd,Business,2f3caa1b-c20b-48bb-88ac-fa30983bf959,Olivia,Lopez,Online,467.46,2023-07-18
f0295000-1d84-40d5-bb0e-299cf9cba848,5f95af6a-a4f1-439d-9d22-9cc22f6be903,Business,2dfbe587-a812-45c6-8404-6838afd365d0,Elijah,Garcia,Mobile,231.67,2023-04-26
4514b9e0-971d-4825-94a8-585b1ba86fa1,e0250198-0fc9-4007-8a8f-832c63eec9a5,Business,9a2e9722-8484-4780-bde9-174abe99d096,Liam,Brown,Mobile,672.22,2023-03-27
19e3430f-f8e2-4c60-9109-b77076be6fe9,9d567cdc-5224-4162-afc7-db238861609a,Premium,4bb5a0a8-f1b5-4873-a240-9b8fbcc8d3a1,Mia,Lopez,Online,1424.43,2023-06-24
41aebc3b-ffb8-4347-ba75-c1b2770daef6,a60f8ec3-f3e4-45c5-8416-e685cb1a04fa,Economy,774fb42b-cf6d-4c85-93af-d3d0ccfee559,Ava,Davis,Agent,714.9,2023-07-16
7c3ab03b-f8f2-4cc6-80b6-ccde37410196,16dee8e1-4a63-43e4-8b00-e4d817beac39,Business,5b5e6e9a-216b-4285-a93c-e1f015bcf2ed,Ava,Davis,Online,716.41,2024-03-26
33c74644-8bc2-4855-97ce-afd48e1007d1,a95e5dbd-55a0-48b3-9ce8-f4676f9902b3,Business,828992c4-18bc-434c-bee9-eb43e9565e44,Benjamin,Johnson,Online,1738.79,2023-12-18
789f6bf7-00d2-4de2-9faa-e221764b424b,b9eeb661-3331-474a-ae36-c73ba0cfc07e,Premium,cc3cc117-aaa2-4d1e-9316-f07bd9f6fe84,William,Rodriguez,Agent,1386.4,2024-05-02
7854ff47-04da-4131-978e-0ba8a4af85b8,4a744847-2d98-4835-8aa4-e8b1947e3cae,Premium,3a79fdc6-fb87-4342-bb06-f8db34564f40,Mia,Smith,Agent,643.58,2024-11-23
62b937c1-fdd9-42d2-aa12-d480e7a12964,b6cdc9c8-59af-4035-b424-734d2bdcd68a,Economy,05fb680c-58b0-46bd-9591-2b9f071614b4,William,Smith,Agent,1292.58,2023-04-20
837146f5-c922-4722-8844-4e8c458b2afc,411cc0b3-da46-4f7b-bd08-cbdbb9480059,Business,77a19c70-99cf-4b1b-be75-ee5e52bffa83,William,Johnson,Online,1993.5,2024-05-31
b1dea302-99ca-43e2-be81-36c7a7555fa2,16dee8e1-4a63-43e4-8b00-e4d817beac39,Economy,10b01a7b-21d7-4b67-a09f-e992bd071ab9,Liam,Smith,Online,1201.72,2023-08-12
5dc32fbc-4c16-4e61-8428-7834e1560555,a95e5dbd-55a0-48b3-9ce8-f4676f9902b3,Economy,b46cbd89-420c-4d2b-ba25-be59df5d9833,Mia,Davis,Mobile,811.53,2023-12-07
b462a0e6-490b-40a7-9975-66ba83807654,a5ad41e2-95e7-4565-965a-a718a46a5f56,Economy,efad8a09-6449-405c-8a58-ca1a237139c5,Oliver,Garcia,Online,1397.27,2024-11-01
b41c74e4-0b46-4d47-ab76-3cc733ec892d,33cdde30-725f-43d7-afca-888d94edb48f,Premium,dc919daf-33cf-42bb-b769-801d69ddb826,Ava,Garcia,Mobile,1295.96,2024-11-20
bd1ec919-ab2f-4456-9205-7153ebb5edb3,d618aef7-3fd0-4733-bc63-b2ed2cc4233e,Economy,30d9e656-c79a-4878-b608-9a9c500829d3,Mia,Martinez,Mobile,1724.6,2024-05-05
962d9ab8-be88-431c-a79d-e3635f9678d1,5f95af6a-a4f1-439d-9d22-9cc22f6be903,Business,557affd8-cbce-4536-ae11-4a42a6054fad,Benjamin,Martinez,Online,1825.14,2024-01-17
6cf0b4e0-f00b-4dd1-9500-03d5b9218e44,e0250198-0fc9-4007-8a8f-832c63eec9a5,Economy,cef1df7d-e684-44a9-935b-d42d6b2d13cb,Elijah,Hernandez,Online,1601.64,2024-04-11
fc379017-aa5c-4c5c-bb45-a7e8d4b615a1,d0be3818-fe47-4d1a-b66d-5301b8f4125d,Economy,b859db69-d911-459c-a74c-9bdf3bf73ad7,Mia,Smith,Mobile,1439.07,2024-08-03
75764258-7834-48b8-975d-71eb5da0b116,7a0ee103-5db5-4313-aa40-6024ccad67b9,Economy,e6ec5596-902c-4805-9131-3a2d4d3c3ebd,Charlotte,Davis,Mobile,1848.6,2024-04-12
16bb833a-b9cf-4a6b-a2b7-64e4f979bfcf,79092065-decc-4388-8a56-d7b9683b5ed0,Business,29911d6a-64e4-4368-aefa-9d146a446535,Sophia,Brown,Agent,131.76,2024-01-22
7fdcb229-eb8b-4b09-94ed-83bdb3e99829,0d2fb038-9214-41c6-a19e-6f20429e704b,Business,0482bd38-8cc2-4571-85ce-2666f47335b4,James,Smith,Agent,1785.33,2023-12-18
fb78fa70-1d96-4e3c-bfd0-04fbf4965d24,9a7d4b0b-5dbe-47a8-ae74-2508cd248eb7,Premium,439ac69d-8add-44c9-938c-a39561249b55,Olivia,Williams,Mobile,1645.64,2024-04-29
6325f590-c88f-42a4-bf27-0d28d7ca5057,6bf877e3-fbac-46ab-b11e-74e688ec745b,Economy,3ec83c54-d2dd-4089-aa2f-91613e3aa36b,Benjamin,Williams,Online,1153.63,2023-02-19
6b227017-5420-4129-9580-48b045eea7c1,9a7d4b0b-5dbe-47a8-ae74-2508cd248eb7,Business,5a006b34-b4f7-4dd2-9156-c20a138a50bc,Noah,Hernandez,Agent,1000.6,2024-09-13
7c62af0c-6f4b-4d6f-88d0-63254327338f,4a744847-2d98-4835-8aa4-e8b1947e3cae,Premium,ce9200c4-fcbb-46ec-ab18-c82ba2618ccb,Liam,Martinez,Mobile,1768.09,2023-03-12
a38a36d7-64f6-4557-b51d-459a6d00f98f,e0250198-0fc9-4007-8a8f-832c63eec9a5,Premium,c7d7d9a0-8dd3-41dc-85cd-e880362fc642,Noah,Williams,Mobile,1817.33,2023-08-30
